index,solution,solute,'det_sv_NdUnfilled','det_sv_NfUnfilled','det_sv_NUnfilled','AVE_sv_NsUnfilled','AVE_sv_NfUnfilled','AVE_sv_NUnfilled','AVE_sv_GSmagmom','AVE_sv_frac_pValence','AVE_sv_frac_dValence','AVE_sv_EA（wiki)','AVE_Electrochemical weight equivalent_sv','reci_det_sv_MeltingT','reci_det_sv_EA（wiki)','reci_det_sv_Volume','reci_det_Electrochemical weight equivalent_sv','reci_det_Electronegativity absolute_sv','reci_det_Radii pseudo-potential (Zunger)_sv','reci_det_sv_nw','reci_det_Energy cohesive (Brewer)_sv','reci_det_Enthalpy of vacancies (Miedema)_sv','reci_det_Nuclear charge effective (Slater)_sv','reci_ave_sv_EA（wiki)','reci_ave_sv_R_ionic(wiki)','reci_ave_sv_Ve','reci_ave_Electrochemical weight equivalent_sv','reci_ave_Charge nuclear effective (Clementi)_sv','reci_ave_Distance from valence electron (Schubert)_sv','reci_ave_Electronegativity (Martynov&Batsanov)_sv','reci_ave_Electronegativity absolute_sv','reci_ave_Radii pseudo-potential (Zunger)_sv','reci_ave_Enthalpy of vacancies (Miedema)_sv','reci_ave_Nuclear charge effective (Slater)_sv','exp_det_sv_CovalentRadius','exp_det_sv_Electronegativity（Pauling scale）','exp_det_sv_NsValence','exp_det_sv_NdValence','exp_det_sv_NsUnfilled','exp_det_sv_NpUnfilled','exp_det_sv_NdUnfilled','exp_det_sv_NUnfilled','exp_det_sv_GSmagmom','exp_det_sv_frac_sValence','exp_det_sv_frac_pValence','exp_det_sv_frac_dValence','exp_det_sv_frac_fValence','exp_det_sv_EA（wiki)','exp_det_sv_Ionic energy/ev','exp_det_sv_R_ionic(wiki)','exp_det_Phi_sv','exp_det_Electrochemical weight equivalent_sv','exp_det_Atomic electron scattering factor at 0.5_sv','exp_det_Charge nuclear effective (Clementi)_sv','exp_det_Compression modulus_sv','exp_det_Distance from core electron (Schubert)_sv','exp_det_Distance from valence electron (Schubert)_sv','exp_det_Electronegativity (Alfred-Rochow)_sv','exp_det_Electronegativity (Martynov&Batsanov)_sv','exp_det_Electronegativity absolute_sv','exp_det_Radii pseudo-potential (Zunger)_sv','exp_det_sv_nw','exp_det_Energy cohesive (Brewer)_sv','exp_det_Nuclear charge effective (Slater)_sv','cmax','MA',ev_ratio,sf,N_sv,N_so,sv_Volume,so_Volume
209,Mo,Ta,2,0,1,0.5,0,6.5,0,0,0.4956,0.53515,0.27034,-4.14E-05,1.757824556,-0.008660144,-3.363842815,-0.013101254,-0.00922412,0.050766702,-0.023170776,-0.000556,0.013175231,2.217062954,1.183804987,0.720041677,4.35,0.124,0.6365834,0.515463918,0.249859629,0.363034999,0.004722222,0.296442688,1.173510871,0.516851334,2.718281828,0.135335283,0.367879441,1,7.389056099,2.718281828,1,0.940446986,1,0.508952799,2.089239241,0.654227584,1.579597393,1.030454534,0.549,1.232543598,2.857651118,12.80710378,0.484324569,1.051271096,1.27124915,1.030454534,1,1.23,1.072508181,0.295230167,3.596639726,0.860707976,40,-0.161,0.97477,12.68,42,73,15.58,18.01
19,Al,Ga,0,0,0,0,0,5,0,0.2051,0.3846,0.431415,0.166995,0.002230039,0.015205497,-0.009194512,-6.581914089,0.002902477,-0.007044424,0.074074074,0.060886635,0.004960317,-0.085714286,2.317978647,1.398635478,0.422164117,7.443263651,0.203235975,0.498756219,0.598995696,0.311048762,0.593492713,0.018353175,0.242857143,1.010050167,1.221402758,1,22026.46579,1,1,1,1,1,0.598756664,0.773832374,2.158039132,1,0.997174001,1.013621945,1.088717067,0.904837418,1.15913032,3.421229536,8.584858397,0.858129722,1.138828383,0.990049834,1.419067549,1.061836547,0.97,1.02020134,0.638,0.559898367,4.48168907,0.5,-0.0345,0.88923,4.94,13,31,16.6,19.59
191,Mn,Fe,-1,0,-1,0,0,4.5,1.0555,0,0.73215,-0.173382,0.667605,-0.000106147,8.525881647,0.003061685,-6.189120679,-0.022511786,0.023483199,-0.059627973,-0.108820894,-0.003968254,-0.011111111,2.262940823,1.283950617,0.626496651,3.932846547,0.188,0.82785988,0.544499237,0.257561312,0.46219205,0.009126984,0.272222222,0.93239382,1.323129812,1,2.718281828,1,1,0.367879441,0.367879441,8.251541241,0.964929729,1,1.036344896,1,1.921749559,1.6,0.941764534,1.616074402,2.859394817,1.040810774,1.221402758,2.965364621,0.941764534,0.904837418,1.040810774,0.690734331,1.4,0.895834135,3.97,3.896193302,1.161834243,10,0.0467,0.99879,-3.72,25,26,12.21,11.77
243,Ni,Zn,-2,0,-2,0,0,1,0.2977,0,0.81665,0.27858,0.321425,0.000865,-2.530851395,-0.02579088,-0.336557737,-0.002553626,0.073199297,0.248215445,0.515515516,0.012307692,-0.017028523,-0.401240969,1.170591457,0.850739179,3.12,0.171,0.398658137,0.631313131,0.225995914,0.495315245,0.013846154,0.238399319,0.980198673,0.771051586,1,7.389056099,1,1,0.135335283,0.135335283,0.551341985,0.967248342,1,1.033860651,1,0.172534166,4.541239534,1.051271096,0.332871084,1.035278011,1.083287068,1.296930087,0.283087285,1.127496852,0.501576069,0.913931185,0.726149037,1.05,0.740818221,0.0469,0.045501954,1.349858808,23,-2.92,0.8607,19.9,28,30,10.94,15.24
303,Pu,Sc,9,-8,1,0,4,8.5,0.159,0,0.16665,-0.156,0.577895,-0.000544022,7.319148936,-1.83E-05,5.418897233,0.013686912,0.159970376,-0.206639566,-0.0214,0.002202146,-0.272727273,1.659574468,1.003568243,0.23501538,3.709448617,0.164,0.538744344,0.717948718,0.292557742,0.283651176,0.007594579,0.47,0.843664817,1.083287068,1,2.718281828,1,1,8103.083928,2.718281828,0.727602788,1.51694736,1,1.395565905,0.472366553,1.989732087,1.707960554,0.775,0.577,0.429896843,0.0813,0.012651241,0.900324523,1.105170918,1.840431399,0.980198673,1.221402758,0.852,0.115,1.84,1.349858808,3.857425531,6,0.0012,1.12402,12.45,94,21,23.4,23.41
9,Ag,Mg,0,0,-1,0.5,0,0.5,0,0,0.45455,0.452235,0.12197,0.000273661,-3.266594862,-0.015568864,-0.543728441,-0.104743298,0.071558206,0.228174603,0.323268605,0.008888889,0.112781955,-0.866702569,0.968992248,0.365439153,8.207742326,0.213,0.389805097,0.848969109,0.172853576,0.456831735,0.015555556,0.294,0.960789439,0.537944438,2.72,4.54E-05,0.367879441,1,1,0.367879441,1,2.482087649,1,0.403,1,0.181868751,1.07,0.651,0.407,1.008112731,0.158500109,0.008915179,0.520481986,0.810584246,0.549,0.826959134,1.27124915,47.5,0.708220353,0.399,0.236927759,0.259,25,-1.5,0.78676,7.13,47,12,17.06,23.23
70,Ce,Th,-1,-13,-14,0,6.5,15,0,0,0.375,0.87,0.542695,-0.000439391,-0.89968511,0.001336995,-0.403019878,-0.047619048,-0.021419009,-0.1155255,-0.070191159,-0.002083333,0.16194332,1.30454341,0.897745572,0.119054555,1.86,0.102,0.431547619,0.839160839,0.30952381,0.211512718,0.007291667,0.431848853,1.02020134,1.197217363,1,2.72,1,1,0.368,8.32E-07,1,1,1,1.284025417,0.778800783,1.82,2.16,0.93239382,1.04,1.124467961,2.745601015,0.165298888,1.355269056,0.878095431,0.852143789,1.051271096,1.221402758,1.648721271,1.616074402,1.51,6.55,0.40656966,50,0.00481,0.9697,-7.29,58,90,34.37,32.86
360,Tc,Ru,-2,0,-1,0.5,0,4.5,0,0,0.79465,0.79819,0.204125,-2.79E-05,-0.86250606,0.003333845,-3.111532819,-0.033532253,0.006518669,-0.389354051,0.002382551,0.000277,-0.011111111,1.386928788,1.246698773,0.541021127,5.35,0.136,0.75796727,0.483164905,0.238988349,0.380617825,0.005266805,0.272222222,0.990049834,1.349858808,0.367879441,7.389056099,2.718281828,1,0.135335283,0.367879441,1,0.851547497,1,1.174332616,1,1.642763689,1.08,1.035619709,1.105170918,1.126020798,1.040810774,1.246076731,1.268709193,0.970445534,0.941764534,1.061836547,0.810584246,1.8,0.956,75.2,0.895834135,1.161834243,25,0.0665,0.98046,-6.39,43,44,14.213,13.57
150,Gd,Er,-9,-5,-14,0,4.5,9,0,0,0.05,0.2245,0.56043,-6.55E-05,-4.094141868,0.002425595,-0.11882665,0,0.019727618,-0.027337343,0.062405474,0,0,5.252199139,0.949258786,0.379517081,1.786320262,0.12,0.457783365,0.871212121,0.303030303,0.265618285,0.008333333,0.350877193,0.93239382,1.040810774,1,0.367879441,1,1,0.000123,8.32E-07,1,0.944499615,1,0.904837418,1.170112619,1.19,0.958,0.953133787,1.02020134,1.037983616,1.138828383,1.296930087,1.028395684,0.93239382,0.93239382,1,1.105170918,1,0.755783741,1.094174284,0.427,1,55,0.001,1.00532,-6.94,64,68,33.1,30.64
302,Pt,Zn,-1,0,-2,0.5,0,1,0,0,0.60415,0.763,0.42227,0.000953808,-2.137232758,-0.000608368,0.974798165,0.046147673,0.161544523,0.257477644,0.57,0.0138,-0.017028523,-0.598050288,1.100096712,1.188398564,2.46,0.13,0.380565332,0.609002327,0.201645265,0.451142632,0.013125,0.238399319,0.869,0.532591801,2.718281828,2.72,0.367879441,1,0.367879441,0.135335283,1,1.133148453,1,1.581383347,0.558053747,0.065539648,1.545735734,0.942,0.212,0.846182688,0.188247066,0.008395999,0.112477734,0.990049834,0.357006961,1.25,0.625,0.317,0.44,0.0354,0.011220644,1.349858808,25,-0.133,0.91472,-7.68,78,30,15.1,15.24
