index,solution,solute,'det_sv_NdUnfilled','det_sv_NfUnfilled','det_sv_NUnfilled','AVE_sv_NsUnfilled','AVE_sv_NfUnfilled','AVE_sv_NUnfilled','AVE_sv_GSmagmom','AVE_sv_frac_pValence','AVE_sv_frac_dValence','AVE_sv_EA（wiki)','AVE_Electrochemical weight equivalent_sv','reci_det_sv_MeltingT','reci_det_sv_EA（wiki)','reci_det_sv_Volume','reci_det_Electrochemical weight equivalent_sv','reci_det_Electronegativity absolute_sv','reci_det_Radii pseudo-potential (Zunger)_sv','reci_det_sv_nw','reci_det_Energy cohesive (Brewer)_sv','reci_det_Enthalpy of vacancies (Miedema)_sv','reci_det_Nuclear charge effective (Slater)_sv','reci_ave_sv_EA（wiki)','reci_ave_sv_R_ionic(wiki)','reci_ave_sv_Ve','reci_ave_Electrochemical weight equivalent_sv','reci_ave_Charge nuclear effective (Clementi)_sv','reci_ave_Distance from valence electron (Schubert)_sv','reci_ave_Electronegativity (Martynov&Batsanov)_sv','reci_ave_Electronegativity absolute_sv','reci_ave_Radii pseudo-potential (Zunger)_sv','reci_ave_Enthalpy of vacancies (Miedema)_sv','reci_ave_Nuclear charge effective (Slater)_sv','exp_det_sv_CovalentRadius','exp_det_sv_Electronegativity（Pauling scale）','exp_det_sv_NsValence','exp_det_sv_NdValence','exp_det_sv_NsUnfilled','exp_det_sv_NpUnfilled','exp_det_sv_NdUnfilled','exp_det_sv_NUnfilled','exp_det_sv_GSmagmom','exp_det_sv_frac_sValence','exp_det_sv_frac_pValence','exp_det_sv_frac_dValence','exp_det_sv_frac_fValence','exp_det_sv_EA（wiki)','exp_det_sv_Ionic energy/ev','exp_det_sv_R_ionic(wiki)','exp_det_Phi_sv','exp_det_Electrochemical weight equivalent_sv','exp_det_Atomic electron scattering factor at 0.5_sv','exp_det_Charge nuclear effective (Clementi)_sv','exp_det_Compression modulus_sv','exp_det_Distance from core electron (Schubert)_sv','exp_det_Distance from valence electron (Schubert)_sv','exp_det_Electronegativity (Alfred-Rochow)_sv','exp_det_Electronegativity (Martynov&Batsanov)_sv','exp_det_Electronegativity absolute_sv','exp_det_Radii pseudo-potential (Zunger)_sv','exp_det_sv_nw','exp_det_Energy cohesive (Brewer)_sv','exp_det_Nuclear charge effective (Slater)_sv','cmax','MA',ev_ratio,sf,N_sv,N_so,sv_Volume,so_Volume
100,Cr,Si,-5,0,-2,0.5,0,5,0,0.25,0.41665,1.0326806,0.0813,0.000134053,-0.759967792,-0.033383283,2.624912005,-0.059173598,0.294389287,0.102807795,-0.027919718,0.008333333,-0.057543607,1.099656255,1.50063857,0.3499001,1.24E+01,2.14E-01,0.637719954,0.502525253,0.239230405,0.557030709,0.0125,0.27,0.755783741,1.27124915,2.718281828,0.006737947,0.367879441,54.59815003,0.006737947,0.135335283,1,1.395565905,1.65E+00,0.434612695,1,2.041492586,3.995584994,0.719,1.051271096,0.983006054,0.392978648,0.431710523,0.401318461,1.4,1.786038431,1.197217363,0.980198673,2.86,0.36059494,0.165,1.698932309,2.225540928,7.5,7.81E-02,0.50919,-15.05,24,14,12,20.02
238,Ni,Si,-2,0,2,0,0,3,0.2977,0.25,0.4,1.2733406,0.188,1.41E-05,-0.144512369,-0.041457628,10.46855037,-0.017629121,0.245509756,0.109290824,-0.009242504,0.00897,-0.005949725,0.791928544,1.528335564,0.556938491,8.522775302,2.04E-01,0.434193898,0.536616162,0.218458167,0.581470474,0.012179487,0.243938718,0.878095431,9.90E-01,1,0.000335463,1,54.59815003,0.135335283,7.389056099,0.551341985,1.35E+00,1.65E+00,0.449328964,1,1.261575328,1.310868638,0.748,0.60653066,0.793422034,0.334874314,0.241714017,0.418114483,1.05,0.371576691,0.990049834,1.246076731,1.45,0.467666427,0.138,1.209249598,1.105170918,12,-9.58E-01,0.5147,-5.81,28,14,10.94,20.02
198,Mn,Si,-5,0,-1,0,0,4.5,0.00015,0.25,0.35715,0.4447606,0.107495,-6.56E-05,2.719672359,-0.031950032,6.729643602,-0.059173598,0.253774902,0.056049835,-0.126483032,0.00556,-0.036813922,-0.64016382,1.543209877,0.386549682,1.04E+01,2.12E-01,0.658605502,0.497623292,0.239230405,0.577337901,0.013888889,0.259,0.755783741,1.42E+00,1,0.006737947,1,54.59815003,0.006737947,0.367879441,0.999700045,1.238994297,1.648721271,0.489534666,1,6.616200086,2.05E+00,0.763,1.284025417,0.932757524,0.377569735,0.390627835,1.479937711,1.476980794,1.915540829,1.150273799,0.941764534,2.86,0.449328964,0.454,5.528961478,1.733253018,14,2.00E-01,0.51572,-15.44,25,14,12.21,20.02
87,Co,Si,-3,0,1,0,0,3.5,0.77425,0.25,0.3889,1.0258906,0.18904,2.72E-05,-0.790308615,-0.03989721,10.48254903,-0.022914534,0.209175847,0.109290824,-0.011807711,0.00926,-0.015446401,1.114826667,1.558837318,0.504211679,8.515775973,2.06E-01,0.700376596,0.543222927,0.221100873,0.599637429,0.012037037,0.248687056,0.860707976,1.02020134,1,0.000911882,1,54.59815003,0.049787068,2.718281828,0.212566585,1.320222126,1.65E+00,4.59E-01,1,2.069405152,1.668441571,0.779,0.670320046,0.792391255,0.348540794,0.275270783,0.396135086,1.599994193,2.159766254,1.040810774,1.296930087,1.6,0.548811636,0.138,1.27124915,1.284025417,13,-7.48E-01,0.52042,-6.39,27,14,11.13,20.02
143,Fe,Sb,-4,0,-1,0,0,3.5,1.05535,0.1,0.70835,0.6003185,0.72263,0.000554283,-5.571137475,-0.051849184,3.124463941,-0.040119852,0.092638589,0.613470613,0.129991504,0.017857143,-0.107936508,3.740312909,1.222222222,0.588191851,2.400518178,1.42E-01,0.663592622,0.533046057,0.226245493,0.520252944,0.016071429,0.213,1.072508181,1.246076731,1,54.59815003,1,20.08553692,0.018315639,0.367879441,0.12115313,0.889852109,1.22E+00,0.920075083,1,2.445293117,2.03E+00,1.161834243,0.58860497,0.390409145,2.559981418,95.58347983,0.272531793,1.803988415,2.691234472,1.197217363,1.599994193,2.2,0.708220353,0.0137,0.216535667,12.80710378,2.5,-5.80E+00,0.5316,36.4,26,51,11.77,30.2
115,Cu,Hg,0,0,-1,0.5,0,0.5,0,0,0.64685,0.36789,0.684405,0.003531166,-2.809205522,-0.041975457,-2.073941296,-0.019548298,-0.075258319,0.491986204,1.206004362,0.015,-0.008210181,-0.595397239,0.925390399,1.020786104,2.00E+00,0.130459488,0.405283452,0.798533433,0.213440137,0.452566919,0.0175,0.233990148,1,1.105170918,2.718281828,1,0.367879441,1,1,0.367879441,1,0.986097544,1,0.591851216,1.713434781,0.176262662,15.04611773,1.52,0.778800783,2.034092961,5.870853361,202.3502284,0.372320588,1.323129812,0.852143789,0.733446956,1.506817785,1.54,1.447734615,0.144,0.059605943,1.161834243,3,-1.74E+00,0.5317,5.44,29,80,11.81,23.42
125,Cu,Th,8,0,7,0.5,0,4.5,0,0,0.70455,1.20289,0.465365,-0.000242186,0.045495333,-0.054241869,-1.373081958,0.0625,-0.289392866,0.161725067,-0.125242629,-0.00375,0.274725275,0.831953188,1.012413512,0.526569723,2.349466064,1.41E-01,0.419292717,0.847578348,0.254464286,0.345499646,0.008125,0.375,2.095935514,0.548811636,2.718281828,0.000335463,0.367879441,1,2980.957987,1096.633158,1,1.505462259,1.00E+00,6.64E-01,1,0.936336836,2.42E-01,1.19,0.292292578,1.312547624,7.924823118,23.57059593,0.437359398,0.980198673,0.733446956,0.527292424,1.246076731,0.375,18.91584631,0.34,15.02927551,0.105399225,1.5,-3.73E+00,0.53594,49.12,29,90,11.81,32.86
300,Pt,Sn,-1,0,2,0.5,0,3,0,0.07145,0.54465,1.62,0.406645,1.49E-03,0.428657879,-0.0300588,1.274782554,0.053986711,0.161544523,0.349010825,0.147,0.0138,-0.06992243,0.68489503,1.134324532,1.047862333,2.61453549,1.01E-01,0.371712292,0.527737552,0.205564784,0.451142632,0.013125,0.211952365,1.03,7.26E-01,2.718281828,2.72,0.367879441,54.59815003,0.367879441,7.389056099,1,1.106497919,1.153614434,1.403964471,0.558053747,0.363117066,0.198930453,0.896,0.22313016,0.820148383,0.398519041,0.192049909,0.187683171,1.161834243,0.390627835,1.32,0.97,0.272531793,0.440431655,0.0238,0.067205513,4.953032424,8,-7.45496,0.5389,-1.32,78,50,15.1,27.65
144,Fe,Si,-4,0,0,0,0,4,1.05535,0.25,0.375,0.7713786,0.633,4.06E-05,-5.806209288,-0.035011717,12.91876428,-0.036661813,0.230291703,0.115677808,-0.017662138,0.00952,-0.025702811,3.622777003,1.592592593,0.439747169,7.297668348,2.09E-01,0.692814587,0.55192645,0.227974512,0.589079501,0.011904762,0.253815261,0.810584246,1.072508181,1,0.002478752,1,54.59815003,0.018315639,1,0.12115313,1.28E+00,1.65E+00,0.472366553,1,3.442800366,1.28E+00,0.811,0.794533603,0.326208021,0.362765014,0.319819022,0.499074448,1.57,2.117000017,1.105170918,1.363425114,2.03,0.501576069,0.114,1.419067549,1.491824698,10,-4.22E-01,0.54158,-7.88,26,14,11.77,20.02
229,Ni,Ge,-2,0,2,0,0,3,0.2977,0.07145,0.75715,1.1949182,0.246085,0.000246787,-0.05294181,-0.047238067,2.028386316,-0.009881423,0.182310045,0.202537894,0.034515035,0.01048951,-0.06992243,0.837713823,1.177122282,0.766226217,4.302693273,1.61E-01,0.423670075,0.53534719,0.222332016,0.549870619,0.012937063,0.211952365,0.960789439,1.105170918,1,7.389056099,1,54.59815003,0.135335283,7.389056099,0.551341985,9.44E-01,1.153614434,0.917869551,1,1.078440914,1.018570323,1.040810774,0.522045777,0.890466319,1.173510871,2.9153795,0.3368896,1.094174284,0.402524224,1.309964451,1.25860001,1.22,0.537944438,0.0614,0.554327285,4.953032424,10,-2.44E+00,0.55454,14.76,28,32,10.94,22.64
